timestamp,nav_usd,cash_usd,n_positions,invested_pct,regime,drawdown,max_drawdown,n_trades
2025-09-05 00:00:00+00:00,100000.0,55838.26191566232,2,0.44161738084337676,NEUTRAL,0.0,0.0,2
2025-09-05 02:00:00+00:00,100249.12137579569,58078.461679125554,2,0.420658646359487,NEUTRAL,0.0,0.0,1
2025-09-05 04:00:00+00:00,100263.87241324714,60280.1407997677,2,0.3987850324460107,NEUTRAL,0.0,7.44770875115199e-05,1
2025-09-05 06:00:00+00:00,100333.80548692014,61341.04910755419,2,0.388630294546629,NEUTRAL,0.0,7.44770875115199e-05,1
2025-09-05 08:00:00+00:00,100614.03155102818,59004.54907372876,3,0.4135554637446014,NEUTRAL,0.000629284280626328,0.000629284280626328,2
2025-09-05 10:00:00+00:00,100538.95231405178,59706.484698494176,3,0.4061357978747375,NEUTRAL,0.0013750251046058385,0.0013750251046058385,1
2025-09-05 12:00:00+00:00,100824.22951054071,80729.88056588692,3,0.19930079349183638,BEAR,0.0,0.0013750251046058385,2
2025-09-05 14:00:00+00:00,100415.61628484921,78844.02742693434,3,0.21482304900387905,BEAR,0.004052728472859612,0.004052728472859612,1
2025-09-05 16:00:00+00:00,100464.24806018421,81758.61032873206,3,0.18619198463762288,BEAR,0.003570386325827216,0.004052728472859612,2
2025-09-05 18:00:00+00:00,100443.18167423632,82234.42720497816,3,0.18128412666490334,BEAR,0.003779328026152266,0.004141246194377109,1
2025-09-05 20:00:00+00:00,100528.28809156628,82128.31710062086,3,0.18303276958407766,BEAR,0.002935221230165594,0.004141246194377109,1
2025-09-05 22:00:00+00:00,100400.95055939685,85761.20130129626,3,0.1458128551227189,BEAR,0.004198186816787016,0.0043075816343622385,2
2025-09-06 00:00:00+00:00,100407.84361196039,85980.07552709914,3,0.1436916436590283,BEAR,0.004129819792342597,0.0043075816343622385,1
2025-09-06 02:00:00+00:00,100410.48639469694,85752.15487410784,3,0.14598407045823514,BEAR,0.004103608010220534,0.0043075816343622385,1
2025-09-06 04:00:00+00:00,100415.8733744777,85798.27293875536,3,0.14557061492867163,BEAR,0.0040501785934334384,0.0043075816343622385,1
2025-09-06 06:00:00+00:00,100381.9217826854,81067.30585103076,4,0.19241129865463646,BEAR,0.004386918997571599,0.004460714919949539,3
2025-09-06 08:00:00+00:00,100402.66554254023,79373.10179250926,4,0.20945224547968622,BEAR,0.004181177183768212,0.004460714919949539,2
2025-09-06 10:00:00+00:00,100380.65684029856,79564.83179703227,4,0.20736888658124042,BEAR,0.004399465013474554,0.004670976694495416,2
2025-09-06 12:00:00+00:00,100391.65112943659,79393.82658055553,4,0.20915907162248215,BEAR,0.0042904208958908455,0.004670976694495416,2
2025-09-06 14:00:00+00:00,100407.45287183548,71027.3843282297,4,0.29260844392803986,NEUTRAL,0.004133695250918363,0.004670976694495416,3
2025-09-06 16:00:00+00:00,100307.98209283593,65671.04087748122,4,0.3453059317183542,NEUTRAL,0.005120271389237971,0.005326099486740231,3
2025-09-06 18:00:00+00:00,100249.43290355132,65632.16181528625,4,0.34531139065464733,NEUTRAL,0.0057009769356015354,0.005749363303524713,2
2025-09-06 20:00:00+00:00,100198.1851259578,66774.9773979243,2,0.33357098919523964,NEUTRAL,0.0062092652492570155,0.006325099338100796,2
2025-09-06 22:00:00+00:00,99556.86739608568,78638.66837939437,1,0.2101130696837672,NEUTRAL,0.012570015368404379,0.012727200546199389,0
2025-09-07 00:00:00+00:00,99606.51097732098,69918.52786969782,2,0.2980526354786456,NEUTRAL,0.012077637876641735,0.012727200546199389,1
2025-09-07 02:00:00+00:00,99900.91810940858,69918.52786969782,2,0.30012126822373064,NEUTRAL,0.009157634088694945,0.012727200546199389,0
2025-09-07 04:00:00+00:00,99931.66476689678,74582.54708486015,2,0.2536645190607666,NEUTRAL,0.008852681026941233,0.012727200546199389,1
2025-09-07 06:00:00+00:00,99975.15674689526,68607.10913866424,3,0.3137584238816926,NEUTRAL,0.008421316659371915,0.012727200546199389,1
2025-09-07 08:00:00+00:00,100095.89978616212,61062.61118300966,4,0.3899589162647066,BULL,0.007223756907583898,0.012727200546199389,2
2025-09-07 10:00:00+00:00,100112.00728855113,61062.61118300966,4,0.39005706870895174,BULL,0.007063998658329623,0.012727200546199389,0
2025-09-07 12:00:00+00:00,100182.15963973303,58875.68834774094,4,0.41231364387167413,BULL,0.006368210041620562,0.012727200546199389,2
2025-09-07 14:00:00+00:00,100345.65742014092,58875.68834774094,4,0.4132711881966934,BULL,0.004746598042187407,0.012727200546199389,0
2025-09-07 16:00:00+00:00,100203.94088797185,55552.29394274286,5,0.44560769316597637,BULL,0.006152178157771172,0.012727200546199389,1
2025-09-07 18:00:00+00:00,100155.93846655355,55552.29394274286,5,0.44534198577457096,BULL,0.006628278214784634,0.012727200546199389,0
2025-09-07 20:00:00+00:00,100256.05725388983,51122.50924060501,5,0.4900805932239919,BULL,0.0056352749672288205,0.012727200546199389,1
2025-09-07 22:00:00+00:00,100373.80434829839,51122.50924060501,5,0.490678772489192,BULL,0.004467429748076857,0.012727200546199389,0
2025-09-08 00:00:00+00:00,100563.41953254578,52713.21724408561,4,0.4758211535654294,BULL,0.002586778785824093,0.012727200546199389,5
2025-09-08 02:00:00+00:00,101086.5487979931,55945.83542983182,4,0.4465550946681194,BULL,0.0,0.012727200546199389,3
2025-09-08 04:00:00+00:00,101075.17779902734,62796.175097157524,4,0.378718133724007,BULL,0.00013459133822918718,0.012727200546199389,2
2025-09-08 06:00:00+00:00,101005.09026944694,56759.50738746823,4,0.43805300073438547,BULL,0.0011325494397146643,0.012727200546199389,2
2025-09-08 08:00:00+00:00,101116.19828658213,57266.04323071195,5,0.43366103353283403,BULL,3.377133341748102e-05,0.012727200546199389,3
